county_fips,year,total_cases,total_dafw,total_djtr
28023,2021,1.0,0.0,0.0
28023,2022,2.0,0.0,0.0
28023,2023,1.0,0.0,0.0
28031,2021,2.0,0.0,0.0
28031,2022,2.0,0.0,0.0
28035,2021,2.0,0.0,0.0
28035,2022,2.0,0.0,0.0
28061,2018,4.0,0.0,0.0
28061,2020,6.0,0.0,0.0
28061,2023,1.0,0.0,0.0
28065,2016,2.0,0.0,0.0
28065,2020,1.0,0.0,0.0
28065,2022,2.0,0.0,0.0
28067,2016,1.0,0.0,0.0
28067,2018,4.0,0.0,0.0
28067,2020,2.0,0.0,0.0
28067,2023,1.0,0.0,0.0
28073,2016,2.0,0.0,0.0
28073,2020,1.0,0.0,0.0
28073,2021,2.0,0.0,0.0
28073,2022,4.0,0.0,0.0
28075,2017,2.0,0.0,0.0
28075,2018,2.0,0.0,0.0
28089,2023,1.0,0.0,0.0
28091,2016,2.0,0.0,0.0
28091,2020,1.0,0.0,0.0
28091,2022,2.0,0.0,0.0
28121,2016,1.0,0.0,0.0
28121,2017,1.0,0.0,0.0
28127,2016,1.0,0.0,0.0
28127,2017,1.0,0.0,0.0
28129,2020,4.0,0.0,0.0
28129,2023,1.0,0.0,0.0
28153,2016,2.0,0.0,0.0
28153,2017,3.0,0.0,0.0
28153,2018,5.0,0.0,0.0
28153,2020,6.0,0.0,0.0
28153,2021,3.0,0.0,0.0
28153,2022,2.0,0.0,0.0
28153,2023,1.0,0.0,0.0
29009,2018,2.0,0.0,0.0
29209,2018,2.0,0.0,0.0
30021,2016,2.0,0.0,0.0
30021,2018,2.0,0.0,0.0
30025,2016,2.0,0.0,0.0
30025,2018,1.0,0.0,0.0
30025,2019,1.0,0.0,0.0
30025,2020,2.0,0.0,0.0
30025,2021,2.0,0.0,0.0
30025,2022,1.0,0.0,0.0
30079,2016,2.0,0.0,0.0
30079,2018,2.0,0.0,0.0
30083,2016,2.0,0.0,0.0
30083,2017,4.0,0.0,0.0
30083,2018,1.0,0.0,0.0
30083,2019,2.0,0.0,0.0
30083,2020,2.0,0.0,0.0
30083,2021,2.0,0.0,0.0
30083,2022,2.0,0.0,0.0
30083,2023,1.0,0.0,0.0
30091,2016,2.0,0.0,0.0
30095,2016,2.0,0.0,0.0
30101,2018,1.0,0.0,0.0
30101,2019,1.0,0.0,0.0
30101,2021,2.0,0.0,0.0
30101,2022,1.0,0.0,0.0
30101,2023,1.0,0.0,0.0
30111,2016,2.0,0.0,0.0
30111,2017,1.0,0.0,0.0
30111,2023,1.0,0.0,0.0
31007,2018,1.0,0.0,0.0
31007,2021,2.0,0.0,0.0
31041,2020,2.0,0.0,0.0
31041,2023,1.0,0.0,0.0
31105,2018,1.0,0.0,0.0
31105,2021,2.0,0.0,0.0
32031,2018,1.0,0.0,0.0
32031,2021,1.0,0.0,0.0
32031,2022,3.0,0.0,0.0
32031,2023,1.0,0.0,0.0
33009,2020,2.0,0.0,0.0
33015,2023,1.0,0.0,0.0
34001,2022,3.0,0.0,0.0
34007,2022,2.0,0.0,0.0
34013,2017,2.0,0.0,0.0
34013,2018,2.0,0.0,0.0
34013,2019,2.0,0.0,0.0
34013,2020,2.0,0.0,0.0
34013,2021,2.0,0.0,0.0
34013,2022,1.0,0.0,0.0
34023,2022,1.0,0.0,0.0
34035,2022,1.0,0.0,0.0
34037,2017,2.0,0.0,0.0
35005,2021,2.0,0.0,0.0
35005,2022,2.0,0.0,0.0
35015,2016,10.0,0.0,0.0
35015,2017,5.0,0.0,0.0
35015,2018,3.0,0.0,0.0
35015,2019,3.0,0.0,0.0
35015,2020,8.0,0.0,0.0
35015,2021,9.0,0.0,0.0
35015,2022,9.0,0.0,0.0
35015,2023,10.0,0.0,0.0
35021,2021,2.0,0.0,0.0
35021,2022,2.0,0.0,0.0
35021,2023,1.0,0.0,0.0
35025,2016,7.0,0.0,0.0
35025,2017,5.0,0.0,0.0
35025,2018,8.0,0.0,0.0
35025,2019,4.0,0.0,0.0
35025,2020,7.0,0.0,0.0
35025,2021,11.0,0.0,0.0
35025,2022,4.0,0.0,0.0
35025,2023,11.0,0.0,1.0
35045,2016,7.0,0.0,0.0
35045,2017,10.0,0.0,0.0
35045,2018,13.0,0.0,0.0
35045,2020,4.0,0.0,0.0
35045,2021,4.0,0.0,0.0
35045,2022,8.0,0.0,0.0
35045,2023,5.0,0.0,0.0
35059,2021,2.0,0.0,0.0
35059,2022,2.0,0.0,0.0
35059,2023,1.0,0.0,0.0
36007,2023,1.0,0.0,0.0
36009,2017,2.0,0.0,0.0
36015,2023,1.0,0.0,0.0
36029,2017,1.0,0.0,0.0
36029,2018,1.0,0.0,0.0
36029,2019,1.0,0.0,0.0
36029,2020,1.0,0.0,0.0
36055,2017,1.0,0.0,0.0
36055,2018,1.0,0.0,0.0
36061,2023,2.0,0.0,0.0
36067,2023,1.0,0.0,0.0
36097,2023,1.0,0.0,0.0
36117,2017,1.0,0.0,0.0
36117,2018,1.0,0.0,0.0
37013,2023,1.0,0.0,0.0
37025,2023,1.0,0.0,0.0
37037,2023,1.0,0.0,0.0
37065,2023,1.0,0.0,0.0
37097,2017,2.0,0.0,0.0
37101,2021,1.0,0.0,0.0
37119,2023,1.0,0.0,0.0
37147,2023,2.0,0.0,0.0
37183,2021,1.0,0.0,0.0
37183,2023,1.0,0.0,0.0
38007,2016,9.0,0.0,0.0
38007,2017,5.0,0.0,0.0
38007,2018,7.0,0.0,0.0
38007,2019,8.0,0.0,0.0
38007,2020,7.0,0.0,0.0
38007,2021,7.0,0.0,0.0
38007,2022,8.0,0.0,0.0
38007,2023,4.0,0.0,0.0
38009,2020,1.0,0.0,0.0
38009,2021,2.0,0.0,0.0
38009,2022,2.0,0.0,0.0
38013,2016,2.0,0.0,0.0
38013,2017,2.0,0.0,0.0
38013,2018,2.0,0.0,0.0
38013,2021,3.0,0.0,0.0
38013,2023,3.0,0.0,0.0
38015,2023,2.0,0.0,0.0
38023,2016,4.0,0.0,0.0
38023,2017,2.0,0.0,0.0
38023,2018,1.0,0.0,0.0
38023,2020,2.0,0.0,0.0
38023,2021,1.0,0.0,0.0
38023,2022,2.0,0.0,0.0
38023,2023,2.0,0.0,0.0
38025,2016,16.0,0.0,0.0
38025,2017,12.0,0.0,0.0
38025,2018,16.0,0.0,0.0
38025,2019,13.0,0.0,0.0
38025,2020,22.0,0.0,0.0
38025,2021,23.0,0.0,0.0
38025,2022,18.0,0.0,0.0
38025,2023,8.0,0.0,0.0
38053,2016,13.0,0.0,0.0
38053,2017,11.0,0.0,0.0
38053,2018,14.0,0.0,0.0
38053,2019,14.0,0.0,0.0
38053,2020,11.0,0.0,0.0
38053,2021,20.0,0.0,0.0
38053,2022,14.0,0.0,0.0
38053,2023,10.0,0.0,0.0
38059,2021,2.0,0.0,0.0
38061,2016,11.0,0.0,0.0
38061,2017,5.0,0.0,0.0
38061,2018,8.0,0.0,0.0
38061,2019,3.0,0.0,0.0
38061,2020,5.0,0.0,0.0
38061,2021,11.0,0.0,0.0
38061,2022,7.0,0.0,0.0
38061,2023,7.0,0.0,0.0
38075,2016,1.0,0.0,0.0
38075,2017,1.0,0.0,0.0
38075,2023,2.0,0.0,0.0
38089,2016,10.0,0.0,0.0
38089,2017,7.0,0.0,0.0
38089,2018,7.0,0.0,0.0
38089,2019,1.0,0.0,0.0
38089,2020,14.0,0.0,0.0
38089,2021,9.0,0.0,0.0
38089,2022,7.0,0.0,0.0
38089,2023,2.0,0.0,0.0
38101,2016,1.0,0.0,0.0
38101,2017,2.0,0.0,0.0
38101,2020,1.0,0.0,0.0
38101,2021,2.0,0.0,0.0
38101,2023,3.0,0.0,0.0
38105,2016,35.0,0.0,0.0
38105,2017,24.0,0.0,0.0
38105,2018,33.0,0.0,0.0
38105,2019,5.0,0.0,0.0
38105,2020,27.0,0.0,0.0
38105,2021,29.0,0.0,0.0
38105,2022,29.0,0.0,0.0
38105,2023,22.0,0.0,0.0
39003,2016,2.0,0.0,0.0
39005,2016,2.0,0.0,0.0
39005,2017,2.0,0.0,0.0
39005,2018,2.0,0.0,0.0
39005,2019,2.0,0.0,0.0
39005,2020,2.0,0.0,0.0
39005,2021,1.0,0.0,0.0
39005,2022,1.0,0.0,0.0
39011,2016,2.0,0.0,0.0
39013,2016,1.0,0.0,0.0
39013,2017,2.0,0.0,0.0
39013,2018,5.0,0.0,0.0
39013,2019,7.0,0.0,0.0
39013,2020,6.0,0.0,0.0
39013,2021,5.0,0.0,0.0
39013,2022,3.0,0.0,0.0
39013,2023,5.0,0.0,78.0
39017,2016,2.0,0.0,0.0
39017,2023,1.0,0.0,0.0
39019,2016,2.0,0.0,0.0
39019,2019,1.0,0.0,0.0
39019,2020,2.0,0.0,0.0
39019,2022,1.0,0.0,0.0
39019,2023,3.0,0.0,0.0
39029,2023,1.0,0.0,0.0
39031,2018,1.0,0.0,0.0
